IdProvincia,Provincia,IdDepartamento,CodigoProvincia
150,PASCO,18,1901
151,DANIEL ALCIDES CARRION,18,1902
152,OXAPAMPA,18,1903
153,PIURA,19,2001
154,AYABACA,19,2002
155,HUANCABAMBA,19,2003
156,MORROPON,19,2004
157,PAITA,19,2005
158,SULLANA,19,2006
159,TALARA,19,2007
160,SECHURA,19,2008
161,PUNO,20,2101
162,AZANGARO,20,2102
163,CARABAYA,20,2103
164,CHUCUITO,20,2104
165,HUANCANE,20,2106
166,LAMPA,20,2107
167,MELGAR,20,2108
168,SANDIA,20,2112
169,SAN ROMAN,20,2111
170,YUNGUYO,20,2113
171,SAN ANTONIO DE PUTINA,20,2110
172,EL COLLAO,20,2105
173,MOHO,20,2109
174,MOYOBAMBA,21,2201
175,HUALLAGA,21,2204
176,LAMAS,21,2205
177,MARISCAL CACERES,21,2206
178,RIOJA,21,2208
179,SAN MARTIN,21,2209
180,BELLAVISTA,21,2202
181,TOCACHE,21,2210
182,PICOTA,21,2207
183,EL DORADO,21,2203
184,TACNA,22,2301
185,TARATA,22,2304
186,JORGE BASADRE,22,2303
187,CANDARAVE,22,2302
188,TUMBES,23,2401
189,CONTRALMIRANTE VILLAR,23,2402
190,ZARUMILLA,23,2403
191,PROV. CONST. DEL CALLAO,24,0701
192,CORONEL PORTILLO,25,2501
193,PADRE ABAD,25,2503
194,ATALAYA,25,2502
195,PURUS,25,2504
